[༄། །​_55_],༄། །​_55_,༄། །​_55_,༄། །​_55_,_33_,༄། །​_55_,༄༅། །​_11_,_33_,_33_
[བསླབ་_100_],བསླབ་_100_,བསླབ་_100_,བསླབ་_100_,བསླབ་_100_,བསླབ་_100_,བསླབ་_100_,བསླབ་_100_,བསླབ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བཅུའི་_100_],བཅུའི་_100_,བཅུའི་_100_,བཅུའི་_100_,བཅུའི་_100_,བཅུའི་_100_,བཅུའི་_100_,བཅུའི་_100_,བཅུའི་_100_
[ཆོ་_88_],ཆོ་_88_,ཆོ་_88_,ཆོ་_88_,ཆོ་_88_,ཆོ་_88_,ཆོ་_88_,ཆོ་_88_,ཆོ་ག༈ བསླབ་བ་བཅུའི་ཆོ་_11_
[ག་_100_],ག་_100_,ག་_100_,ག་_100_,ག་_100_,ག་_100_,ག་_100_,ག་_100_,ག་_100_
[བཞུགས_100_],བཞུགས_100_,བཞུགས_100_,བཞུགས_100_,བཞུགས_100_,བཞུགས_100_,བཞུགས_100_,བཞུགས_100_,བཞུགས_100_
[། །​༄༅༅། །​_55_],། །​༄༅༅། །​_55_,། །​༄༅༅། །​_55_,། །​༄༅༅། །​_55_,། །​༄༅། །​_11_,། །​༄༅༅། །​_55_,།༄༅། །​_11_,། །​_22_,། །​_22_
[སློབ་_100_],སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_
[དཔོན་_100_],དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_
[དགོངས་_100_],དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_
[སུ་_100_],སུ་_100_,སུ་_100_,སུ་_100_,སུ་_100_,སུ་_100_,སུ་_100_,སུ་_100_,སུ་_100_
[གསོལ_100_],གསོལ_100_,གསོལ_100_,གསོལ_100_,གསོལ_100_,གསོལ_100_,གསོལ_100_,གསོལ_100_,གསོལ_100_
[། །​_88_],། །​_88_,། །​_88_,། །​_88_,། །​_88_,། །​_88_,། _11_,། །​_88_,། །​_88_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_
[མིང་_100_],མིང་_100_,མིང་_100_,མིང་_100_,མིང་_100_,མིང་_100_,མིང་_100_,མིང་_100_,མིང་_100_
[འདི་_100_],འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བགྱི་_100_],བགྱི་_100_,བགྱི་_100_,བགྱི་_100_,བགྱི་_100_,བགྱི་_100_,བགྱི་_100_,བགྱི་_100_,བགྱི་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[དུས་_100_],དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_
[འདི་_100_],འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_
[བཟུང་_100_],བཟུང་_100_,བཟུང་_100_,བཟུང་_100_,བཟུང་_100_,བཟུང་_100_,བཟུང་_100_,བཟུང་_100_,བཟུང་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_
[བྱང་_100_],བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_
[ཆུབ་_100_],ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_
[སྙིང་_100_],སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
