[༄༅། །​དོན་དམ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཨརྠ་སྟ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _33_],༄༅། །​དོན་དམ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཨརྠ་སྟ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _33_,༄༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཨརྦ་སྟ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _11_,༄༅། །​དོན་དམ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཐཱརྠ་སྟ་བ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _22_,༄༅། །​དོན་དམ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཐཱརྠ་སྟ་བ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _22_,༄༅། །​དོན་དམ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཨརྠ་སྟ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _33_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཨརྠ་སྟ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _22_,༄༅། །​ འཕགས་པ་_11_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། པ་ར་མ་ཨརྠ་སྟ་བཾ། བོད་སྐད་དུ། དོན་དམ་པར་བསྟོད་པ། _22_
[འཇམ་_100_],འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_
[དཔལ་_100_],དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_
[གཞོན་_100_],གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_
[ནུར་_100_],ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_
[གྱུར་_100_],གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སྐྱེ་_100_],སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[ཅིང་_100_],ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_,ཅིང་_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[ལ_88_],ལ_88_,ལ_88_,ལ_88_,ལ_88_,ལ_88_,ལ_88_,པ_11_,ལ_88_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འཇིག་_100_],འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_
[རྟེན་_100_],རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_
[དཔེ་_100_],དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_
[ཤིན་_100_],ཤིན་_100_,ཤིན་_100_,ཤིན་_100_,ཤིན་_100_,ཤིན་_100_,ཤིན་_100_,ཤིན་_100_,ཤིན་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[འདས_100_],འདས_100_,འདས_100_,འདས_100_,འདས_100_,འདས_100_,འདས_100_,འདས_100_,འདས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ངག་_100_],ངག་_100_,ངག་_100_,ངག་_100_,ངག་_100_,ངག་_100_,ངག་_100_,ངག་_100_,ངག་_100_
[གིས་_100_],གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[སྤྱོད་_100_],སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_
